cell,grade,detail
A-call-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xe1)"
A-return,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xef)"
A-let-ann,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xe8)"
A-list-elem,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref null $type), found (ref null $type) (at offset 0x146)"
A-list-push,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0x15f)"
A-struct-field,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xe9)"
A-map-value,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref null $type), found (ref null $type) (at offset 0x210)"
A-assign-local,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xf0)"
A-if-expr-arm,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xef)"
A-nested-call-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xe9)"
A-global-cell,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref $type), found (ref null $type) (at offset 0xfd)"
B-call-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref null $type), found (ref $type) (at offset 0xec)"
B-return,runs,printed 5
B-let-ann,runs,printed 5
B-list-elem,loud emit reject,[ERROR]: emitProgram: a nullable-Circle list element has no rep; use a non-null element type
B-map-value,loud emit reject,"[ERROR]: emitProgram: unsupported map value type (no rep for a union-member struct, a nullable list over an unnamed element rep, or a nullable litunion-result closure; any other value type here interned no mv slot)"
B-global-cell,runs,printed 5
B-assign-local,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref null $type), found (ref $type) (at offset 0xd9)"
B-nested-call-arg,check-clean invalid wasm,"[ERROR]: the emitted module is not valid wasm (a compiler emit bug, not an error in this file): type mismatch: expected (ref null $type), found (ref $type) (at offset 0xf2)"
B-captured-call-arg,loud emit reject,[ERROR]: emitProgram: a function value's signature is not yet supported — a function value may not take a nullable or map parameter (or return one); annotate and call it as a named function instead
