cell,leg,rep,nul,pos,con,read,inp,spell,outcome,msg,expected
c00000,A,i32,0,const_local,direct,print,0,inline,correct,,7|1
c00001,A,i32,0,const_local,direct,print,1,inline,correct,,8|1
c00002,A,i32,0,const_local,is_t,print,0,inline,correct,,7|1
c00003,A,i32,0,const_local,is_t,print,1,inline,correct,,8|1
c00004,A,i32,0,const_local,eqcmp,print,0,inline,correct,,true|1
c00005,A,i32,0,const_local,eqcmp,print,1,inline,correct,,false|1
c00006,A,i32,0,const_local,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00007,A,i32,0,const_local,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00008,A,i32,0,const_local,printdirect,print,0,inline,correct,,7|1
c00009,A,i32,0,const_local,printdirect,print,1,inline,correct,,8|1
c00010,A,i32,0,let_local,direct,print,0,inline,correct,,7|1
c00011,A,i32,0,let_local,direct,print,1,inline,correct,,8|1
c00012,A,i32,0,let_local,is_t,print,0,inline,correct,,7|1
c00013,A,i32,0,let_local,is_t,print,1,inline,correct,,8|1
c00014,A,i32,0,let_local,eqcmp,print,0,inline,correct,,true|1
c00015,A,i32,0,let_local,eqcmp,print,1,inline,correct,,false|1
c00016,A,i32,0,let_local,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00017,A,i32,0,let_local,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00018,A,i32,0,let_local,printdirect,print,0,inline,correct,,7|1
c00019,A,i32,0,let_local,printdirect,print,1,inline,correct,,8|1
c00020,A,i32,0,param,direct,print,0,inline,correct,,7|1
c00021,A,i32,0,param,direct,print,1,inline,correct,,8|1
c00022,A,i32,0,param,is_t,print,0,inline,correct,,7|1
c00023,A,i32,0,param,is_t,print,1,inline,correct,,8|1
c00024,A,i32,0,param,eqcmp,print,0,inline,correct,,true|1
c00025,A,i32,0,param,eqcmp,print,1,inline,correct,,false|1
c00026,A,i32,0,param,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00027,A,i32,0,param,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00028,A,i32,0,param,printdirect,print,0,inline,correct,,7|1
c00029,A,i32,0,param,printdirect,print,1,inline,correct,,8|1
c00030,A,i32,0,ret_unann,direct,print,0,inline,correct,,7|1
c00031,A,i32,0,ret_unann,direct,print,1,inline,correct,,8|1
c00032,A,i32,0,ret_unann,is_t,print,0,inline,correct,,7|1
c00033,A,i32,0,ret_unann,is_t,print,1,inline,correct,,8|1
c00034,A,i32,0,ret_unann,eqcmp,print,0,inline,correct,,true|1
c00035,A,i32,0,ret_unann,eqcmp,print,1,inline,correct,,false|1
c00036,A,i32,0,ret_unann,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00037,A,i32,0,ret_unann,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00038,A,i32,0,ret_unann,printdirect,print,0,inline,correct,,7|1
c00039,A,i32,0,ret_unann,printdirect,print,1,inline,correct,,8|1
c00040,A,i32,0,ret_ann,direct,print,0,inline,correct,,7|1
c00041,A,i32,0,ret_ann,direct,print,1,inline,correct,,8|1
c00042,A,i32,0,ret_ann,is_t,print,0,inline,correct,,7|1
c00043,A,i32,0,ret_ann,is_t,print,1,inline,correct,,8|1
c00044,A,i32,0,ret_ann,eqcmp,print,0,inline,correct,,true|1
c00045,A,i32,0,ret_ann,eqcmp,print,1,inline,correct,,false|1
c00046,A,i32,0,ret_ann,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00047,A,i32,0,ret_ann,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00048,A,i32,0,ret_ann,printdirect,print,0,inline,correct,,7|1
c00049,A,i32,0,ret_ann,printdirect,print,1,inline,correct,,8|1
c00050,A,i32,0,global,direct,print,0,inline,correct,,7|1
c00051,A,i32,0,global,direct,print,1,inline,correct,,8|1
c00052,A,i32,0,global,is_t,print,0,inline,correct,,7|1
c00053,A,i32,0,global,is_t,print,1,inline,correct,,8|1
c00054,A,i32,0,global,eqcmp,print,0,inline,correct,,true|1
c00055,A,i32,0,global,eqcmp,print,1,inline,correct,,false|1
c00056,A,i32,0,global,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00057,A,i32,0,global,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00058,A,i32,0,global,printdirect,print,0,inline,correct,,7|1
c00059,A,i32,0,global,printdirect,print,1,inline,correct,,8|1
c00060,A,i32,0,field,direct,print,0,inline,correct,,7|1
c00061,A,i32,0,field,direct,print,1,inline,correct,,8|1
c00062,A,i32,0,field,is_t,print,0,inline,correct,,7|1
c00063,A,i32,0,field,is_t,print,1,inline,correct,,8|1
c00064,A,i32,0,field,eqcmp,print,0,inline,correct,,true|1
c00065,A,i32,0,field,eqcmp,print,1,inline,correct,,false|1
c00066,A,i32,0,field,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00067,A,i32,0,field,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
c00068,A,i32,0,field,printdirect,print,0,inline,correct,,7|1
c00069,A,i32,0,field,printdirect,print,1,inline,correct,,8|1
c00070,A,i32,0,elem,direct,print,0,inline,correct,,7|1
c00071,A,i32,0,elem,direct,print,1,inline,correct,,8|1
c00072,A,i32,0,elem,is_t,print,0,inline,correct,,7|1
c00073,A,i32,0,elem,is_t,print,1,inline,correct,,8|1
c00074,A,i32,0,elem,eqcmp,print,0,inline,correct,,true|1
c00075,A,i32,0,elem,eqcmp,print,1,inline,correct,,false|1
c00076,A,i32,0,elem,coalesce,print,0,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,7|1
c00077,A,i32,0,elem,coalesce,print,1,inline,loud_emit_reject,emitProgram: `??` is only supported on a map index get,8|1
